Timestamp,First choice,Second choice,Third choice
3/17/2019 0:25:54,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:25:55,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:26:10,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:26:10,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:26:21,@scottlincicome,@mattyglesias,@AlanMCole
3/17/2019 0:26:50,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:26:51,@scottlincicome,@scottlincicome,@scottlincicome
3/17/2019 0:28:28,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:28:54,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:29:30,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:30:02,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:30:23,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:30:57,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:31:57,@AlanMCole,@mattyglesias,@scottlincicome
3/17/2019 0:32:04,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:32:30,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:32:53,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:33:53,@scottlincicome,@mattyglesias,@AlanMCole
3/17/2019 0:33:53,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:34:18,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:34:24,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:34:33,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:34:48,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:34:49,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:34:55,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:35:40,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:36:05,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:36:28,@scottlincicome,@mattyglesias,@AlanMCole
3/17/2019 0:37:11,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:37:49,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:38:49,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:39:38,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:39:53,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:40:34,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:43:03,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:43:06,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:43:44,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:43:45,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:44:18,@AlanMCole,@mattyglesias,@scottlincicome
3/17/2019 0:44:22,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:44:30,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:44:59,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:45:10,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:45:11,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:45:14,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:45:36,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:45:45,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:46:04,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:46:04,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:46:04,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:46:07,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:46:15,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:46:21,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:46:46,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:47:01,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:47:07,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:47:24,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:47:31,@mattyglesias,@scottlincicome,@mattyglesias
